Location	Bucket	Type	Visitor Count	Percentage
Feathers Hotel SA	Total visitors with CEL	CEL Distance	2364	
Feathers Hotel SA	Median distance traveled from CEL	CEL Distance	4.033282903713587	
Feathers Hotel SA	Lives within 1 mile of location	CEL Distance	346	14.64%
Feathers Hotel SA	Lives between 1 and 2 miles	CEL Distance	367	15.52%
Feathers Hotel SA	Lives between 2 and 3 miles	CEL Distance	255	10.79%
Feathers Hotel SA	Lives between 3 and 5 miles	CEL Distance	413	17.47%
Feathers Hotel SA	Lives between 5 and 10 miles	CEL Distance	607	25.68%
Feathers Hotel SA	Lives between 10 and 25 miles	CEL Distance	203	8.59%
Feathers Hotel SA	Lives between 25 and 50 miles	CEL Distance	33	1.40%
Feathers Hotel SA	Lives between 50 and 100 miles	CEL Distance	13	0.55%
Feathers Hotel SA	Lives >100 miles away	CEL Distance	127	5.37%
Feathers Hotel SA	Total visitors with CDL	CDL Distance	2330	
Feathers Hotel SA	Median distance traveled from CDL	CDL Distance	3.9230744151781627	
Feathers Hotel SA	Works within 1 mile of location	CDL Distance	267	11.46%
Feathers Hotel SA	Works between 1 and 2 miles	CDL Distance	329	14.12%
Feathers Hotel SA	Works between 2 and 3 miles	CDL Distance	257	11.03%
Feathers Hotel SA	Works between 3 and 5 miles	CDL Distance	509	21.85%
Feathers Hotel SA	Works between 5 and 10 miles	CDL Distance	580	24.89%
Feathers Hotel SA	Works between 10 and 25 miles	CDL Distance	209	8.97%
Feathers Hotel SA	Works between 25 and 50 miles	CDL Distance	38	1.63%
Feathers Hotel SA	Works between 50 and 100 miles	CDL Distance	16	0.69%
Feathers Hotel SA	Works >100 miles away	CDL Distance	125	5.36%
Feathers Hotel SA	5066	Top CEL Postal2	301	12.73%
Feathers Hotel SA	5068	Top CEL Postal2	124	5.25%
Feathers Hotel SA	5065	Top CEL Postal2	108	4.57%
Feathers Hotel SA	5072	Top CEL Postal2	103	4.36%
Feathers Hotel SA	5064	Top CEL Postal2	100	4.23%
Feathers Hotel SA	5073	Top CEL Postal2	69	2.92%
Feathers Hotel SA	5062	Top CEL Postal2	62	2.62%
Feathers Hotel SA	5061	Top CEL Postal2	48	2.03%
Feathers Hotel SA	5067	Top CEL Postal2	48	2.03%
Feathers Hotel SA	5076	Top CEL Postal2	48	2.03%
Feathers Hotel SA	5070	Top CEL Postal2	44	1.86%
Feathers Hotel SA	5074	Top CEL Postal2	44	1.86%
Feathers Hotel SA	5063	Top CEL Postal2	39	1.65%
Feathers Hotel SA	5069	Top CEL Postal2	38	1.61%
Feathers Hotel SA	5075	Top CEL Postal2	35	1.48%
Feathers Hotel SA	5051	Top CEL Postal2	32	1.35%
Feathers Hotel SA	5034	Top CEL Postal2	30	1.27%
Feathers Hotel SA	5152	Top CEL Postal2	30	1.27%
Feathers Hotel SA	5000	Top CEL Postal2	29	1.23%
